Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC)
TAGGED,43828,AK,AAI,H,BURNETT INLET,1990,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,40.4,,1992,BURNETT INLET 106-22,5/19/92,22649,25230,,1,AD,,,,
TAGGED,43827,AK,AAI,H,BURNETT INLET,1990,HARDING R,HARDING R,CHINOOK,SMOLT       ,25.3,,1992,BURNETT INLET 106-22,5/19/92,21938,28945,,1,AD+LV,,,,ADLV+CWT
TAGGED,401021307,AK,AAI,H,BURNETT INLET,1992,BURNETT INLET,HARDING+NEETS+HIDDEN,CHUM,FED FRY     ,1.6,,1993,ANITA BAY 107-30,4/27/93,39267,12136000,R,1,AD,,,,
TAGGED,44253,AK,AAI,H,BURNETT INLET,1993,BURNETT INLET,HARDING+NEETS+HIDDEN,CHUM,FED FRY     ,1.96,,1994,ANITA BAY 107-30,4/29/94,29281,3549822,,1,AD,,,,
TAGGED,401030510,AK,AAI,H,BURNETT INLET,1994,BURNETT INLET,HARDING+NEETS+HIDDEN,CHUM,FED FRY     ,2.3,,1995,ANITA BAY 107-30,4/28/95,30457,14198765,,1,AD,,,,
TAGGED,401030810,AK,AAI,H,BURNETT INLET,1995,BURNETT INLET,HARDING+NEETS+HIDDEN,CHUM,FED FRY     ,1.96,,1996,ANITA BAY 107-30,5/1/96,39646,26826900,,1,AD,,,,
NOT TAGGED,!01795AAI01,AK,AAI,H,BURNETT INLET,1978,MOSMAN INLET 106-22,,CHUM,FED FRY     ,,,1979,BURNETT INLET 106-22,5/7/79,0,30000,,1,NO MARK,,,,
NOT TAGGED,!01815AAI01,AK,AAI,H,BURNETT INLET,1980,HARDING R,,CHUM,FED FRY     ,1.2,5,1981,BURNETT INLET 106-22,5/15/81,0,240000,,1,NO MARK,,,,
NOT TAGGED,!01825AAI01,AK,AAI,H,BURNETT INLET,1981,HARDING R,,CHUM,FED FRY     ,2.65,,1982,BURNETT INLET 106-22,8/1/82,0,305500,,1,NO MARK,,,,
NOT TAGGED,!01835AAI02,AK,AAI,H,BURNETT INLET,1982,BURNETT INLET,,CHUM,FED FRY     ,1.85,,1983,BURNETT INLET 106-22,5/15/83,0,269000,,1,NO MARK,,,,
NOT TAGGED,!01835AAI01,AK,AAI,H,BURNETT INLET,1982,HARDING R,,CHUM,FED FRY     ,2,,1983,BURNETT INLET 106-22,5/15/83,0,279000,,1,NO MARK,,,,
NOT TAGGED,!01845AAI02,AK,AAI,H,BURNETT INLET,1983,BURNETT INLET,,CHUM,FED FRY     ,1.6,46,1984,BURNETT INLET 106-22,5/5/84,0,512000,,1,NO MARK,,,,
NOT TAGGED,!01845AAI01,AK,AAI,H,BURNETT INLET,1983,HIDDEN FALLS,,CHUM,FED FRY     ,,,1984,BURNETT INLET 106-22,5/10/84,0,845000,,1,NO MARK,,,,
NOT TAGGED,!01855AAI02,AK,AAI,H,BURNETT INLET,1984,BURNETT INLET,,CHUM,FED FRY     ,1.65,60,1985,BURNETT INLET 106-22,5/15/85,0,285000,,1,NO MARK,,,,
NOT TAGGED,!01855AAI01,AK,AAI,H,BURNETT INLET,1984,HARDING R,,CHUM,FED FRY     ,1.65,60,1985,BURNETT INLET 106-22,5/15/85,0,204000,,1,NO MARK,,,,
NOT TAGGED,!01865AAI01,AK,AAI,H,BURNETT INLET,1985,BURNETT INLET,,CHUM,FED FRY     ,2,60,1986,BURNETT INLET 106-22,5/3/86,0,570740,,1,NO MARK,,,,
NOT TAGGED,!01865AAI02,AK,AAI,H,BURNETT INLET,1985,HARDING R,,CHUM,FED FRY     ,2,60,1986,BURNETT INLET 106-22,5/3/86,0,261091,,1,NO MARK,,,,
TAGGED,42816,AK,AAI,H,BURNETT INLET,1986,BURNETT INLET,,CHUM,,2.7,,1987,BURNETT INLET 106-22,5/10/87,25749,4500000,,1,AD,,,,
TAGGED,401010302,AK,AAI,H,BURNETT INLET,1987,BURNETT INLET,,CHUM,,4.2,,1988,BURNETT INLET 106-22,5/7/88,25688,8600000,,1,AD,,,,
TAGGED,43209,AK,AAI,H,BURNETT INLET,1988,BURNETT INLET,,CHUM,,3.3,,1989,BURNETT INLET 106-22,5/8/89,27641,7700000,,1,AD,,,,
TAGGED,43440,AK,AAI,H,BURNETT INLET,1989,BURNETT INLET,HARDING R,CHUM,FINGERLING  ,3.15,66,1990,BURNETT INLET 106-22,5/7/90,32528,2181865,,1,AD,,,,
TAGGED,401020501,AK,AAI,H,BURNETT INLET,1990,BURNETT INLET,HARDING R,CHUM,FED FRY     ,2,,1991,BURNETT INLET 106-22,5/20/91,30872,2980447,,1,AD,,,,
TAGGED,401020809,AK,AAI,H,BURNETT INLET,1991,BURNETT INLET,,CHUM,FED FRY     ,2,,1992,BURNETT INLET 106-22,4/25/92,33279,19578450,,1,AD,,,,
TAGGED,401021308,AK,AAI,H,BURNETT INLET,1992,BURNETT INLET,HARDING+NEETS+HIDDEN,CHUM,FED FRY     ,2.1,,1993,BURNETT INLET 106-22,5/1/93,30518,6089000,,1,AD,,,,
TAGGED,44254,AK,AAI,H,BURNETT INLET,1993,BURNETT INLET,HARDING+NEETS+HIDDEN,CHUM,FED FRY     ,1.8,,1994,BURNETT INLET 106-22,4/13/94,29912,6014869,,1,AD,,,,UNKNOWN NUMBER TAGGED WITH FULL LENGTH CODE CUT AS HALF LENGTH WIRE
TAGGED,401030509,AK,AAI,H,BURNETT INLET,1994,BURNETT INLET,HARDING+NEETS+HIDDEN,CHUM,FED FRY     ,3.1,,1995,BURNETT INLET 106-22,4/28/95,29305,6031975,,1,AD,,,,
TAGGED,401030809,AK,AAI,H,BURNETT INLET,1995,BURNETT INLET,HARDING+NEETS+HIDDEN,CHUM,FED FRY     ,2.5,,1996,BURNETT INLET 106-22,4/30/96,34706,9057793,,1,AD,,,,
TAGGED,41337,AK,AAI,H,BURNETT INLET,1984,BIG CR 106-30,,COHO,,24.3,,1986,BURNETT INLET 106-22,6/18/86,12590,12860,,1,AD,,,,
NOT TAGGED,!01862AAI01,AK,AAI,H,BURNETT INLET,1985,BIG CR 106-30,,COHO,FED FRY     ,9,100,1986,BURNETT INLET 106-22,8/15/86,0,46440,,1,NO MARK,,,,
TAGGED,42817,AK,AAI,H,BURNETT INLET,1985,BIG CR 106-30,,COHO,,27.7,,1987,BURNETT INLET 106-22,6/16/87,6642,8751,,1,AD,,,,
TAGGED,43016,AK,AAI,H,BURNETT INLET,1986,BIG CR 106-30,,COHO,,21.5,,1988,BURNETT INLET 106-22,5/28/88,4978,5116,,1,AD,,,,
TAGGED,43211,AK,AAI,H,BURNETT INLET,1987,BURNETT INLET,,COHO,,25.9,,1989,BURNETT INLET 106-22,5/25/89,14448,30000,,1,AD,,,,
TAGGED,43442,AK,AAI,H,BURNETT INLET,1988,BURNETT INLET,108 CR,COHO,SMOLT       ,20.44,129,1990,BURNETT INLET 106-22,5/24/90,21988,57997,,1,AD,,,,
TAGGED,43632,AK,AAI,H,BURNETT INLET,1989,BURNETT INLET,108 CR,COHO,SMOLT       ,22.3,,1991,BURNETT INLET 106-22,6/6/91,30255,56986,,1,AD,,,,
TAGGED,43826,AK,AAI,H,BURNETT INLET,1990,BURNETT INLET,108 CR,COHO,SMOLT       ,16.6,,1992,BURNETT INLET 106-22,5/19/92,16509,16676,,1,AD,,,,
NOT TAGGED,!01936AAI02,AK,AAI,H,BURNETT INLET,1992,BURNETT INLET,,PINK,FED FRY     ,0.67,,1993,ANITA BAY 107-30,5/1/93,0,14629000,,1,NO MARK,,,,
NOT TAGGED,!01946AAI02,AK,AAI,H,BURNETT INLET,1993,BURNETT INLET,,PINK,FED FRY     ,0.78,,1994,ANITA BAY 107-30,5/3/94,0,12190000,,1,NO MARK,,,,
NOT TAGGED,!01956AAI02,AK,AAI,H,BURNETT INLET,1994,BURNETT INLET,,PINK,FED FRY     ,0.57,,1995,ANITA BAY 107-30,5/1/95,0,31030000,,1,NO MARK,,,,
NOT TAGGED,!01966AAI02,AK,AAI,H,BURNETT INLET,1995,BURNETT INLET,,PINK,FED FRY     ,,,1996,ANITA BAY 107-30,5/1/96,0,4180000,,1,NO MARK,,,,
NOT TAGGED,!01796AAI01,AK,AAI,H,BURNETT INLET,1978,FLAT CR 106-22,,PINK,FED FRY     ,,,1979,BURNETT INLET 106-22,5/7/79,0,800000,,1,NO MARK,,,,
NOT TAGGED,!01806AAI01,AK,AAI,H,BURNETT INLET,1979,FLAT+FALLS CR,,PINK,FED FRY     ,,,1980,BURNETT INLET 106-22,5/21/80,0,253000,,1,NO MARK,,,,
NOT TAGGED,!01816AAI01,AK,AAI,H,BURNETT INLET,1980,BURNETT INLET,,PINK,FED FRY     ,,,1981,BURNETT INLET 106-22,5/3/81,0,130000,,1,NO MARK,,,,
NOT TAGGED,!01826AAI02,AK,AAI,H,BURNETT INLET,1981,BURNETT INLET,,PINK,EMERGENT FRY,,35,1982,BURNETT INLET 106-22,4/27/82,0,20000,,1,NO MARK,,,,
NOT TAGGED,!01826AAI01,AK,AAI,H,BURNETT INLET,1981,BURNETT INLET,,PINK,FED FRY     ,,35,1982,BURNETT INLET 106-22,5/14/82,0,12000,,1,NO MARK,,,,
NOT TAGGED,!01836AAI02,AK,AAI,H,BURNETT INLET,1982,BLACK BEAR CR 107-10,,PINK,FED FRY     ,0.75,,1983,BURNETT INLET 106-22,4/15/83,0,2560000,,1,NO MARK,,,,
NOT TAGGED,!01836AAI01,AK,AAI,H,BURNETT INLET,1982,BURNETT INLET,,PINK,FED FRY     ,0.75,,1983,BURNETT INLET 106-22,4/15/83,0,1330000,,1,NO MARK,,,,
NOT TAGGED,!01846AAI01,AK,AAI,H,BURNETT INLET,1983,BLACK BEAR CR 107-10,,PINK,FED FRY     ,0.66,37,1984,BURNETT INLET 106-22,5/5/84,0,2487000,,1,NO MARK,,,,
NOT TAGGED,!01846AAI02,AK,AAI,H,BURNETT INLET,1983,BURNETT INLET,,PINK,FED FRY     ,0.66,37,1984,BURNETT INLET 106-22,5/5/84,0,802000,,1,NO MARK,,,,
NOT TAGGED,!01856AAI01,AK,AAI,H,BURNETT INLET,1984,BURNETT INLET,,PINK,FED FRY     ,0.71,48,1985,BURNETT INLET 106-22,4/15/85,0,1650000,,1,NO MARK,,,,
NOT TAGGED,!01866AAI01,AK,AAI,H,BURNETT INLET,1985,BURNETT INLET,,PINK,FED FRY     ,0.82,47,1986,BURNETT INLET 106-22,5/1/86,0,9000000,,1,NO MARK,,,,
NOT TAGGED,!01876AAI01,AK,AAI,H,BURNETT INLET,1986,BURNETT INLET,,PINK,FED FRY     ,0.66,43,1987,BURNETT INLET 106-22,5/8/87,0,8811000,,1,NO MARK,,,,
NOT TAGGED,!01886AAI01,AK,AAI,H,BURNETT INLET,1987,BURNETT INLET,,PINK,FED FRY     ,1.16,52,1988,BURNETT INLET 106-22,5/5/88,0,9900000,,1,NO MARK,,,,
NOT TAGGED,!01896AAI01,AK,AAI,H,BURNETT INLET,1988,BURNETT INLET,,PINK,FED FRY     ,0.78,45,1989,BURNETT INLET 106-22,5/13/89,0,5539150,,1,NO MARK,,,,
TAGGED,401011408,AK,AAI,H,BURNETT INLET,1989,BURNETT INLET,BLACK BEAR CR 107-10,PINK,FED FRY     ,1.16,52,1990,BURNETT INLET 106-22,5/14/90,32793,11413683,,1,AD,,,,
TAGGED,401020502,AK,AAI,H,BURNETT INLET,1990,BURNETT INLET,BLACK BEAR CR 107-10,PINK,FED FRY     ,0.95,,1991,BURNETT INLET 106-22,5/17/91,63531,8720086,,1,AD,,,,
TAGGED,401020810,AK,AAI,H,BURNETT INLET,1991,BURNETT INLET,,PINK,FED FRY     ,0.47,,1992,BURNETT INLET 106-22,4/29/92,30596,19342342,,1,AD,,,,
NOT TAGGED,!01936AAI01,AK,AAI,H,BURNETT INLET,1992,BURNETT INLET,,PINK,FED FRY     ,0.58,,1993,BURNETT INLET 106-22,5/1/93,0,5336000,,1,NO MARK,,,,
NOT TAGGED,!01946AAI01,AK,AAI,H,BURNETT INLET,1993,BURNETT INLET,,PINK,FED FRY     ,0.63,,1994,BURNETT INLET 106-22,4/28/94,0,6000000,,1,NO MARK,,,,
NOT TAGGED,!01956AAI01,AK,AAI,H,BURNETT INLET,1994,BURNETT INLET,,PINK,FED FRY     ,0.63,,1995,BURNETT INLET 106-22,4/28/95,0,7920000,,1,NO MARK,,,,
NOT TAGGED,!01966AAI01,AK,AAI,H,BURNETT INLET,1995,BURNETT INLET,,PINK,FED FRY     ,,,1996,BURNETT INLET 106-22,5/1/96,0,8000000,,1,NO MARK,,,,
TAGGED,311862,AK,ADFG,M,(M) GULKANA,1988,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,6.44,93,1990,SUMMIT LK 212-20,6/19/90,17601,17654,C,2,AD,,,,
TAGGED,311863,AK,ADFG,M,(M) GULKANA,1988,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,6.44,93,1990,SUMMIT LK 212-20,6/22/90,17954,17972,C,2,AD,,,,
TAGGED,311901,AK,ADFG,M,(M) GULKANA,1988,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,6.44,93,1990,SUMMIT LK 212-20,6/26/90,15507,15554,C,2,AD,,,,
TAGGED,311940,AK,ADFG,M,(M) GULKANA,1989,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,5.8,88,1991,SUMMIT LK 212-20,6/10/91,18370,18537,C,2,AD,,,,
TAGGED,311941,AK,ADFG,M,(M) GULKANA,1989,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,5.8,90,1991,SUMMIT LK 212-20,6/13/91,18469,18525,C,2,AD,,,,
TAGGED,311943,AK,ADFG,M,(M) GULKANA,1989,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,7.1,94,1991,SUMMIT LK 212-20,6/20/91,8904,8994,C,2,AD,,,,
TAGGED,311942,AK,ADFG,M,(M) GULKANA,1989,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,7.2,92,1991,SUMMIT LK 212-20,6/19/91,17424,17459,C,2,AD,,,,
TAGGED,312101,AK,ADFG,M,(M) GULKANA,1990,GULKANA,GULKANA R,SOCKEYE,SMOLT       ,4.9,84,1992,SUMMIT LK 212-20,6/29/92,8668,8685,,2,AD,,,,
TAGGED,312063,AK,ADFG,M,(M) GULKANA,1990,GULKANA,GULKANA R,SOCKEYE,SMOLT       ,5.1,87,1992,SUMMIT LK 212-20,6/26/92,17241,17363,,2,AD,,,,
TAGGED,312062,AK,ADFG,M,(M) GULKANA,1990,GULKANA,GULKANA R,SOCKEYE,SMOLT       ,5.1,88,1992,SUMMIT LK 212-20,6/19/92,18877,18934,,2,AD,,,,
TAGGED,312061,AK,ADFG,M,(M) GULKANA,1990,GULKANA,GULKANA R,SOCKEYE,SMOLT       ,5.2,89,1992,SUMMIT LK 212-20,6/15/92,17658,17693,,2,AD,,,,
TAGGED,312205,AK,ADFG,M,(M) GULKANA,1991,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,4.8,86,1993,SUMMIT LK 212-20,6/22/93,11539,11562,,2,AD,,,,
TAGGED,312202,AK,ADFG,M,(M) GULKANA,1991,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,5,88,1993,SUMMIT LK 212-20,6/15/93,19028,19143,,2,AD,,,,
TAGGED,312203,AK,ADFG,M,(M) GULKANA,1991,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,5,88,1993,SUMMIT LK 212-20,6/19/93,18586,18736,,2,AD,,,,
TAGGED,312201,AK,ADFG,M,(M) GULKANA,1991,GULKANA,GULKANA R,SOCKEYE,PRESMOLT    ,5.2,87,1993,SUMMIT LK 212-20,6/9/93,18630,18952,,2,AD,,,,
TAGGED,311615,AK,ADFG,M,(M) GULKANA R,1981,GULKANA R,,SOCKEYE,,,85,1983,SUMMIT LK 212-20,6/1/83,19986,77391,C,2,AD,,,,
TAGGED,311617,AK,ADFG,M,(M) GULKANA R,1982,GULKANA R,,SOCKEYE,,,,1984,SUMMIT LK 212-20,6/1/84,19240,371325,C,2,AD,,,,
TAGGED,311654,AK,ADFG,M,(M) GULKANA R,1983,GULKANA R,,SOCKEYE,,6.5,,1985,SUMMIT LK 212-20,6/1/85,19213,223560,C,2,AD,,,,
TAGGED,311656,AK,ADFG,M,(M) GULKANA R,1984,GULKANA R,,SOCKEYE,,3.4,,1986,SUMMIT LK 212-20,6/14/86,18882,20238,C,2,AD,,,,
TAGGED,311657,AK,ADFG,M,(M) GULKANA R,1984,GULKANA R,,SOCKEYE,,3.5,,1986,SUMMIT LK 212-20,6/25/86,20080,20765,C,2,AD,,,,
TAGGED,311728,AK,ADFG,M,(M) GULKANA R,1984,GULKANA R,,SOCKEYE,,3.9,,1986,SUMMIT LK 212-20,7/2/86,13541,13733,C,2,AD,,,,
TAGGED,311817,AK,ADFG,M,(M) GULKANA R,1987,GULKANA R,,SOCKEYE,,5,,1989,SUMMIT LK 212-20,6/14/89,17675,17800,C,2,AD,,,,
TAGGED,311818,AK,ADFG,M,(M) GULKANA R,1987,GULKANA R,,SOCKEYE,,5,,1989,SUMMIT LK 212-20,6/19/89,18806,18977,C,2,AD,,,,
TAGGED,311819,AK,ADFG,M,(M) GULKANA R,1987,GULKANA R,,SOCKEYE,,5,,1989,SUMMIT LK 212-20,6/27/89,11817,11829,C,2,AD,,,,
TAGGED,43206,AK,ADFG,M,(M) HECKMAN LK,1987,HECKMAN LK,,SOCKEYE,,,,1989,HECKMAN LK 101-90,6/3/89,5856,5874,,1,AD,,,,BOTH HATCHERY (BEAVER FALLS) & WILD
TAGGED,42925,AK,ADFG,M,(M) HUGH SMITH LK 101-30,1985,HUGH SMITH LK 101-30,,SOCKEYE,,,,1988,HUGH SMITH LK 101-30,5/25/88,10180,10420,,1,AD,,,,85-86 BROODS MARKED.WILD & HATCHERY
TAGGED,42958,AK,ADFG,M,(M) HUGH SMITH LK 101-30,1985,HUGH SMITH LK 101-30,,SOCKEYE,,,,1988,HUGH SMITH LK 101-30,5/19/88,29254,30761,,1,AD,,,,85-86 BROODS MARKED.WILD & HATCHERY
TAGGED,42935,AK,ADFG,M,(M) KLAWOCK LK,1985,KLAWOCK LK,,SOCKEYE,,7.3,,1988,KLAWOCK LK 103-60,5/19/88,10093,10680,,1,AD,,,,85-86 BROODS MARKED.WILD & HATCHERY
TAGGED,42936,AK,ADFG,M,(M) KLAWOCK LK,1985,KLAWOCK LK,,SOCKEYE,,7.3,,1988,KLAWOCK LK 103-60,5/29/88,9611,9929,,1,AD,,,,85-86 BROODS MARKED.WILD & HATCHERY
TAGGED,44617,AK,ADFG,M,(M) SALMON LK 102-60,1994,SALMON LK 102-60,SALMON LK 102-60,SOCKEYE,SMOLT       ,4.96,83,1996,SALMON LK 102-60,5/19/96,257,257,A,1,AD,,,,93-94 BROOD YEARS MARKED
TAGGED,40480,AK,ADFG,W,(W) AHRNKLIN RIVER,2002,AHRNKLIN RIVER,,COHO,SMOLT       ,,100,2004,AHRNKLIN R 182-70,5/31/04,11820,11867,,1,AD,,,,
TAGGED,40481,AK,ADFG,W,(W) AHRNKLIN RIVER,2002,AHRNKLIN RIVER,,COHO,SMOLT       ,,100,2004,AHRNKLIN R 182-70,6/4/04,8026,8026,,1,AD,,,,
TAGGED,40873,AK,ADFG,W,(W) AHRNKLIN RIVER,2002,AHRNKLIN RIVER,,COHO,SMOLT       ,,100,2004,AHRNKLIN R 182-70,5/20/04,8372,8372,,1,AD,,,,
TAGGED,41047,AK,ADFG,W,(W) AHRNKLIN RIVER,2003,AHRNKLIN RIVER,,COHO,SMOLT       ,,100,2005,AHRNKLIN R 182-70,6/10/05,8260,8260,,1,AD,,,,
TAGGED,41050,AK,ADFG,W,(W) AHRNKLIN RIVER,2003,AHRNKLIN RIVER,,COHO,SMOLT       ,,100,2005,AHRNKLIN R 182-70,6/5/05,22517,22540,,1,AD,,,,
TAGGED,42334,AK,ADFG,W,(W) AKWE R,1983,AKWE R,,COHO,PRESMOLT    ,,81,1984,AKWE R 182-40,8/17/84,1516,1618,,1,AD,,,,
TAGGED,42437,AK,ADFG,W,(W) AKWE R,1983,AKWE R,,COHO,PRESMOLT    ,,81,1984,AKWE R 182-40,8/17/84,10040,10715,,1,AD,,,,
TAGGED,42528,AK,ADFG,W,(W) ALSEK R,1984,ALSEK R,,CHINOOK,PRESMOLT    ,,88,1985,ALSEK R 182-30,7/26/85,48,48,,1,AD,,,,
TAGGED,42523,AK,ADFG,W,(W) ALSEK R,1984,ALSEK R,,COHO,PRESMOLT    ,,87,1985,ALSEK R 182-30,7/28/85,105,105,,1,AD,,,,82-83 BROOD YEARS MARKED
TAGGED,42526,AK,ADFG,W,(W) ALSEK R,1984,ALSEK R,,SOCKEYE,PRESMOLT    ,,72,1985,ALSEK R 182-30,7/26/85,643,643,,1,AD,,,,82-83 BROOD YEARS MARKED
TAGGED,41951,AK,ADFG,W,(W) ANDREW CR 108-40,1977,ANDREW CR 108-40,,COHO,SMOLT       ,6.47,,1979,ANDREW CR 108-40,6/1/79,2713,2713,,1,AD,,,,
TAGGED,40506,AK,ADFG,W,(W) AUKE CR,1975,AUKE CR,,COHO,SMOLT       ,,,1977,AUKE CR 111-50,6/1/77,3038,3038,,1,AD,,,,
TAGGED,41946,AK,ADFG,W,(W) AUKE CR,1977,AUKE CR,,COHO,SMOLT       ,,,1979,AUKE CR 111-50,6/1/79,3872,3872,,1,AD,,,,
TAGGED,40710,AK,ADFG,W,(W) AUKE CR,1991,AUKE CR,AUKE CR 111-50,COHO,SMOLT       ,15.91,117,1993,AUKE CR 111-50,6/16/93,7844,7886,,1,AD,,,,88-90 BROOD YEARS MARKED
TAGGED,40714,AK,ADFG,W,(W) AUKE CR,1992,AUKE CR,AUKE CR 111-50,COHO,SMOLT       ,14.03,110,1994,AUKE CR 111-50,6/22/94,7256,7287,,1,AD,,,,89-92 BROOD YEARS MARKED
TAGGED,40715,AK,ADFG,W,(W) AUKE CR,1993,AUKE CR,AUKE CR 111-50,COHO,SMOLT       ,15.16,117,1995,AUKE CR 111-50,6/30/95,4798,4826,,1,AD,,,,90-93 BROOD YEARS MARKED
TAGGED,40717,AK,ADFG,W,(W) AUKE CR,1994,AUKE CR,AUKE CR 111-50,COHO,SMOLT       ,13.14,111,1996,AUKE CR 111-50,6/25/96,3919,3925,,1,AD,,,,92-94 BROOD YEARS MARKED
TAGGED,40718,AK,ADFG,W,(W) AUKE CR,1995,AUKE CR,AUKE CR 111-50,COHO,SMOLT       ,13.95,114,1997,AUKE CR 111-50,6/30/97,6082,6089,,1,AD,,,,93-95 BROOD YEARS MARKED.
TAGGED,44337,AK,ADFG,W,(W) AUKE CR,1996,AUKE CR,,COHO,SMOLT       ,16,118,1998,AUKE CR 111-50,5/24/98,5973,5973,,1,AD,,,,
TAGGED,44338,AK,ADFG,W,(W) AUKE CR,1996,AUKE CR,,COHO,SMOLT       ,16,118,1998,AUKE CR 111-50,6/30/98,1406,1406,,1,AD,,,,
TAGGED,44639,AK,ADFG,W,(W) AUKE CR,1997,AUKE CR,,COHO,SMOLT       ,15,116,1999,AUKE CR 111-50,6/24/99,5121,5131,,1,AD,,,,
TAGGED,40136,AK,ADFG,W,(W) AUKE CR,1998,AUKE CR,,COHO,SMOLT       ,15,116,2000,AUKE CR 111-50,6/29/00,4862,4867,,1,AD,,,,
TAGGED,40168,AK,ADFG,W,(W) AUKE CR,1999,AUKE CR,,COHO,SMOLT       ,15,,2001,AUKE CR 111-50,6/19/01,5684,5690,,1,AD,,,,
TAGGED,40370,AK,ADFG,W,(W) AUKE CR,2000,AUKE CR,,COHO,SMOLT       ,15,115,2002,AUKE CR 111-50,6/21/02,3401,3410,,1,AD,,,,
TAGGED,40801,AK,ADFG,W,(W) AUKE CR,2001,AUKE CR,,COHO,SMOLT       ,13,107,2003,AUKE CR 111-50,6/25/03,3533,3533,,1,AD,,,,
TAGGED,40970,AK,ADFG,W,(W) AUKE CR,2002,AUKE CR,,COHO,SMOLT       ,15,116,2004,AUKE CR 111-50,6/21/04,4550,4550,,1,AD,,,,
TAGGED,41142,AK,ADFG,W,(W) AUKE CR,2003,AUKE CR,,COHO,SMOLT       ,15,115,2005,AUKE CR 111-50,6/27/05,4287,4287,,1,AD,,,,
